siteName,patchName,year,SPCD,treeName,dbh,STATUSCD,PREV_TRE_CN,PREV_STATUS_CD,AGENTCD,species_name,status,mort_cause,status_before,reg,mort,living,complete,year_before,dbh_before,period_length,dbh_growth,rel_growth,trees,siteID,patchID,species,OrigYear
11_51146,11_51146_1,1,351,11_51146_1_100,18.796,1,23909727010900,1,,Alnus rubra,alive,"",,,,TRUE,TRUE,,,,,,1,29,1,8,2011
11_51146,11_51146_1,1,351,11_51146_1_101,14.732,1,23909730010900,1,,Alnus rubra,alive,"",,,,TRUE,TRUE,,,,,,1,29,1,8,2011
11_51146,11_51146_1,1,351,11_51146_1_102,18.034,1,23909733010900,1,,Alnus rubra,alive,"",,,,TRUE,TRUE,,,,,,1,29,1,8,2011
11_51146,11_51146_1,1,351,11_51146_1_104,19.812,1,23909739010900,1,,Alnus rubra,alive,"",,,,TRUE,TRUE,,,,,,1,29,1,8,2011
11_51146,11_51146_1,1,351,11_51146_1_117,18.796,1,,,,Alnus rubra,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,1,8,2011
11_51146,11_51146_1,1,351,11_51146_1_118,14.224,1,,,,Alnus rubra,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,1,8,2011
11_51146,11_51146_1,1,351,11_51146_1_119,15.494,1,,,,Alnus rubra,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,1,8,2011
11_51146,11_51146_1,1,351,11_51146_1_120,13.462,1,,,,Alnus rubra,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,1,8,2011
11_51146,11_51146_1,1,351,11_51146_1_121,17.78,1,,,,Alnus rubra,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,1,8,2011
11_51146,11_51146_1,1,351,11_51146_1_122,19.05,1,,,,Alnus rubra,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,1,8,2011
11_51146,11_51146_1,1,351,11_51146_1_123,19.304,1,,,,Alnus rubra,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,1,8,2011
11_51146,11_51146_1,1,351,11_51146_1_124,18.034,1,,,,Alnus rubra,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,1,8,2011
11_51146,11_51146_1,1,351,11_51146_1_125,14.986,1,,,,Alnus rubra,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,1,8,2011
